ID,Famille,Sous-famille,Nom,Descriptions,"Prix Descriptions","Prix Tarifs",Texte,Photos
1,Lampes,"Lampe Bois recyclé - Éclairage Led (4W)","Lampes Bois - Modèle Chien","Tête légèrement en trapèze ; Alimentation sur secteur (220 V) ; Fil en corde ; Positionnable à volonté (couché, debout, assis), oreilles positionnables",,69,,"static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chien_gravure_personnalisee_7.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chien_gravure_personnalisee_10.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chien_gravure_personnalisee_11.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chien_gravure_personnalisee_12.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chien_gravure_personnalisee_13.jpg;/static/images/images_ajoute/0_DgRx8tGpS1T0St_b.png;static/images/images_ajoute/GkQa2D-WIAAA_mn.jpeg"
2,Lampes,"Lampe Bois recyclé - Éclairage Led (4W)","Lampes Bois - Modèle Chat","Tête rectangle ; Alimentation sur secteur (220 V) ; Fil en corde ; Positionnable à volonté (couché, debout, assis, oreilles positionnables)",,79,,"static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chat_gravure_personnalisee_13.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_chat_gravure_personnalisee_16.jpg"
3,Lampes,"Lampe Bois recyclé - Éclairage Led (4W)","Lampes Bois - Modèle Poule","Alimentation sur batterie (surcyclée) ;Recharge par chargeur 5V (type téléphone portable) ",,,,"static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_Poule_gravure_personnalisee_1.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_Poule_gravure_personnalisee_2.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_Poule_gravure_personnalisee_3.jpg;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_Poule_gravure_personnalisee_4 sans fond.png;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_Poule_gravure_personnalisee_5- sans fond.png;static/images/images_articles/lampe bois/lampe_bois_recyclage_surcyclage_upcycling_palette_Poule_gravure_personnalisee_6-sans fond.png"
4,Lampes,"Lampe Led Plexi Personnalisée","Lampe Plexi - Modèle Basique","Socle noir (7 couleurs - plaque 12 × 16 cm)",,33.9,"Prix dégressif si plusieurs plaques identiques commandées","static/images/images_articles/lampe led/Lampe led plexi personnalisée basique.jpg;static/images/images_articles/lampe led/Lampe led plexi gravure et decoupe personnalisée basique noir - 7 couleurs.jpg;static/images/images_articles/lampe led/Lampe led plexi gravure et decoupe personnalisée basique noir - 7 couleurs 2.jpg;static/images/images_articles/lampe led/Lampe led plexi gravure et decoupe personnalisée basique noir - 7 couleurs 3.jpg;static/images/images_articles/lampe led/Lampe led plexi personnalisée basique noir.jpg"
5,Lampes,"Lampe Led Plexi Personnalisée","Lampe Plexi - Modèle Luxe","Socle blanc, lumineux, télécommandé (7 couleurs - plaque 12 × 16 cm)",,36.9,"Prix dégressif si plusieurs plaques identiques commandées","static/images/images_articles/lampe led/Lampe led plexi personnalisée edition luxe.jpg;static/images/images_articles/lampe led/Lampe led plexi personnalisée edition luxe noir.jpg"
6,Lampes,"Eclairage Ambiance Bouteille","Bouteille Lampe - Petit Modèle","Environ 25 cm × diam : 6 cm",,14.9,"Prix dégressif si plusieurs bouteilles identiques commandées",static/images/images_articles/bouteille/bouteille_lampe_led_gravure_personnalisee_recyclage_surcyclage_upcycling_noel2.jpg;static/images/images_articles/bouteille/bouteille_lampe_led_gravure_personnalisee_recyclage_surcyclage_upcycling_noel3.jpg
7,Lampes,"Eclairage Ambiance Bouteille","Bouteille Lampe - Grand Modèle","Environ 34 cm × diam : 7,6 cm",,17.9,"Prix dégressif si plusieurs bouteilles identiques commandées",static/images/images_articles/bouteille/bouteille_lampe_led_gravure_personnalisee_recyclage_surcyclage_upcycling_cadeau_2.jpg;static/images/images_articles/bouteille/bouteille_lampe_led_gravure_personnalisee_recyclage_surcyclage_upcycling_cadeau_1.jpg
8,Miroirs,"Miroir Bois","Miroir Bois - Modèle 34 × 34 cm","Miroir Bois recyclé","Si gravure du bois uniquement;Si gravure du miroir uniquement;Si gravure du bois et du miroir","30,90;31,90;39,00","Prix dégressif si plusieurs miroirs identiques commandées",static/images/images_articles/miroir/miroir_bois_recyclage_surcyclage_upcycling_palette_gravure_personnalisee_9.jpg;static/images/images_articles/miroir/miroir_bois_recyclage_surcyclage_upcycling_palette_gravure_personnalisee_10.jpg;static/images/images_articles/miroir/miroir_bois_recyclage_surcyclage_upcycling_palette_gravure_personnalisee_21x30.jpg
9,Miroirs,"Miroir Bois","Miroir Bois - Modèle 25 × 34 cm","Miroir Bois recyclé","Si gravure du bois uniquement;Si gravure du miroir uniquement;Si gravure du bois et du miroir","29,90;30,90;37,90","Prix dégressif si plusieurs miroirs identiques commandées",static/images/images_articles/miroir/miroir_bois_recyclage_surcyclage_upcycling_palette_gravure_personnalisee_5.jpg
10,"Gravures personnalisées","Tire bouchon","Tire-bouchon ""luxe"" personnalisée","Bois / métal","Gravure manche bois;5 gravures","9,50;29,90","Prix dégressif si plusieurs produits identiques commandés","static/images/images_articles/tirebouchon/Tirebouchon_luxe_bois_metal_gravure_personalisée 1.jpg;static/images/images_articles/tirebouchon/Tirebouchon_luxe_bois_metal_gravure_personalisée 2 fond 2.jpg;static/images/images_articles/tirebouchon/Tirebouchon_luxe_bois_metal_gravure_personalisée 2 fond.jpg;static/images/images_articles/tirebouchon/Tirebouchon_luxe_bois_metal_gravure_personalisée 2.jpg;static/images/images_articles/tirebouchon/Tirebouchon_luxe_bois_metal_gravure_personalisée 3.jpg;static/images/images_articles/tirebouchon/Tirebouchon_luxe_bois_metal_gravure_personalisée 4.png"
